name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,ADD,DEL,CADD,CDEL,bugs
org.apache.tools.ant.taskdefs.War,9,6,0,9,34,28,0,9,6,0.8125,166,1,0,0.950617284,0.4,4,9,17.22222222,2,1,79,29,243,30,1
org.apache.tools.ant.taskdefs.LoadProperties,4,3,0,8,39,0,0,8,4,0.333333333,200,1,0,0.925,0.5,1,1,48.5,1,0.75,200,0,200,0,0
org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask,15,3,0,16,77,69,0,16,10,0.826530612,504,1,0,0.725490196,0.233333333,1,1,32.13333333,6,1.4,504,0,504,0,0
org.apache.tools.tar.TarOutputStream,15,3,0,3,37,41,1,2,14,0.696428571,437,0.75,1,0.454545455,0.311111111,1,2,27.33333333,1,0.8,11,7,448,7,0
org.apache.tools.ant.types.Parameterizable,1,1,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0
org.apache.tools.ant.taskdefs.SignJar,18,3,0,10,56,119,0,10,15,0.882352941,460,1,0,0.685185185,0.377777778,0,0,23.83333333,13,2,126,54,549,90,0
org.apache.tools.ant.BuildLogger,4,1,0,5,4,6,4,1,4,2,4,0,0,0,0.5,0,0,0,1,1,24,19,28,19,0
org.apache.tools.ant.taskdefs.ExecuteOn,16,4,2,19,56,48,2,17,10,0.745454545,757,1,4,0.836956522,0.19375,3,7,45.625,14,2.5,77,39,642,78,0
org.apache.tools.ant.taskdefs.Echo,7,3,0,7,21,0,0,7,7,0.625,144,1,0,0.860465116,0.342857143,1,1,19,5,1.4286,27,96,174,96,0
org.apache.tools.ant.taskdefs.ExecuteStreamHandler,5,1,0,11,5,10,11,0,5,2,5,0,0,0,0.533333333,0,0,0,1,1,7,6,12,6,0
org.apache.tools.ant.taskdefs.Parallel,3,3,0,6,21,0,1,6,3,0,146,1,0,0.948717949,0.666666667,0,0,47.33333333,1,0.6667,60,103,209,103,0
org.apache.tools.ant.TaskContainer,1,1,0,9,1,0,8,1,1,2,1,0,0,0,1,0,0,0,1,1,14,5,15,5,0
org.apache.tools.ant.filters.StripLineBreaks,7,5,0,5,17,0,1,4,5,0.777777778,107,1,0,0.848484848,0.476190476,2,5,13.85714286,5,1.2857,107,0,107,0,0
org.apache.tools.ant.types.Environment,3,1,1,7,9,0,5,2,3,0,47,1,0,0,0.666666667,0,0,14.33333333,1,0.6667,2,2,50,3,0
org.apache.tools.ant.taskdefs.DependSet,6,4,0,10,33,0,0,10,6,0.6,511,1,0,0.939759036,0.555555556,1,1,83.5,1,0.8333,84,63,577,63,0
org.apache.tools.ant.types.selectors.ExtendSelector,10,4,0,16,36,3,4,12,10,0.583333333,246,1,2,0.795454545,0.266666667,1,3,23.2,7,2.3,246,0,246,0,0
