name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,ADD,DEL,CADD,CDEL,bugs
fr.jayasoft.ivy.parser.AbstractModuleDescriptorParser$AbstractParser,26,2,2,11,76,265,2,9,5,0.835,763,1,4,0.4047619,0.27403846,0,0,28.038462,-,0,-,-,0,-,0
fr.jayasoft.ivy.repository.BasicResource,9,1,0,3,11,26,2,1,9,0.85,60,1,0,0,0.3611111,0,0,5.111111,3,1,-,0,0,-,0
fr.jayasoft.ivy.DefaultDependencyDescriptor,45,1,0,19,113,634,9,11,37,0.84415585,1006,1,5,0,0.14160839,0,0,21.044445,20,1,-,1,3,-,0
fr.jayasoft.ivy.matcher.Matcher,2,1,0,22,2,1,22,0,2,2,2,0,0,0,0.75,0,0,0,3,1,-,0,0,-,0
fr.jayasoft.ivy.Ivy$2,3,2,0,4,9,1,1,4,2,0.75,33,0,2,0.9130435,0.5,0,0,9.333333,-,0,-,-,0,-,0
fr.jayasoft.ivy.xml.XmlIvyConfigurationParser,7,2,0,13,94,0,1,0,5,0.7291667,1203,1,2,0.73913044,0.35714287,1,2,169.71428,25,1,-,1,4,-,1
fr.jayasoft.ivy.url.ApacheURLLister,6,1,0,6,38,13,2,4,5,0.2,180,1,0,0,0.6666667,0,0,28.833334,2,1,-,1,2,-,0
fr.jayasoft.ivy.namespace.MRIDRule,11,1,0,2,15,17,2,0,11,0.725,95,1,0,0,0.72727275,0,0,7.2727275,3,1,-,0,0,-,0
fr.jayasoft.ivy.event.IvyListener,1,1,0,8,1,0,7,1,1,2,1,0,0,0,1,0,0,0,1,1,-,0,0,-,0
fr.jayasoft.ivy.ant.IvyTask,26,3,19,32,87,303,19,15,4,0.93333334,691,0.6666667,0,0.60655737,0.285,2,2,25.461538,14,1,-,1,6,-,1
fr.jayasoft.ivy.conflict.AbstractConflictManager,6,1,5,8,7,7,5,3,6,0.7,28,1,1,0,0.44444445,0,0,3.3333333,0,0,-,1,0,-,0
