name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,ADD,DEL,CADD,CDEL,bugs
org.gjt.sp.jedit.Registers,14,1,0,9,45,61,3,6,11,0.769230769,425,1,1,0,0.294871795,0,0,29.14285714,8,2.4286,425,0,425,0,0
gnu.regexp.RETokenRepeated,7,2,0,4,21,0,1,3,0,0.541666667,300,1,1,0.538461538,0.333333333,1,3,41.28571429,16,4.7143,300,0,300,0,0
gnu.regexp.REMatchEnumeration,6,1,0,3,11,9,1,3,5,0.6,113,1,3,0,0.333333333,0,0,16.33333333,5,1.5,113,0,113,0,0
bsh.BSHType,6,2,0,16,14,3,8,8,5,0.666666667,92,1,0,0.782608696,0.444444444,0,0,13.83333333,1,0.8333,92,0,92,0,0
gnu.regexp.RETokenOneOf,5,2,0,5,22,0,1,4,0,0.125,206,1,0,0.7,0.35,1,3,39.8,11,4,206,0,206,0,0
bsh.BSHArrayDimensions,4,2,0,10,21,2,2,8,3,0.555555556,174,0.333333333,0,0.857142857,0.5,1,1,41.75,1,0.75,174,0,174,0,0
gnu.regexp.CharIndexedString,4,1,0,2,7,0,1,1,3,0.222222222,62,1,0,0,0.666666667,0,0,13.75,3,1.75,62,0,62,0,0
org.gjt.sp.jedit.gui.DockableWindowContainer,5,1,0,5,5,10,4,1,5,2,5,0,0,0,1,0,0,0,1,1,5,0,5,0,0
org.gjt.sp.jedit.textarea.TextRendererAWT,4,2,0,1,11,6,1,1,0,2,93,0,0,0.785714286,0.571428571,1,2,22.25,5,1.75,93,0,93,0,0
org.gjt.sp.jedit.EditPlugin,10,1,2,11,13,39,10,3,8,0.777777778,33,1,1,0,0.25,0,0,2.2,1,0.9,33,0,33,0,1
bsh.BSHLHSPrimarySuffix,5,2,0,14,27,10,2,12,1,1.071428571,182,0,0,0.818181818,0.72,0,0,34,1,0.8,182,0,182,0,0
org.gjt.sp.jedit.browser.VFSBrowser,54,5,0,41,175,1183,21,27,25,0.930333817,1425,0.846153846,5,0.926241135,0.122895623,3,12,24.90740741,11,2.1296,1425,0,1425,0,1
org.gjt.sp.jedit.options.DockingOptionPane,5,6,0,6,51,6,2,5,3,0.75,260,1,1,0.993993994,1,2,4,50,3,1.4,260,0,260,0,1
bsh.Interpreter,51,1,0,58,132,925,44,21,42,0.776470588,1458,0.117647059,5,0,0.144,0,0,27.25490196,33,1.6667,1458,0,1458,0,0
org.gjt.sp.jedit.gui.HelpViewer,18,6,0,21,124,117,7,20,6,0.77124183,762,1,0,0.975794251,0.1875,3,6,40.83333333,7,1.5556,762,0,762,0,1
org.gjt.sp.jedit.msg.CreateDockableWindow,7,2,0,6,15,9,2,4,7,0.722222222,64,1,1,0.454545455,0.357142857,1,1,7.714285714,1,0.8571,64,0,64,0,0
org.gjt.sp.jedit.options.EditingOptionPane,3,6,0,4,23,1,1,3,1,0.5,330,1,0,0.996987952,1,2,4,105.3333333,3,1.3333,330,0,330,0,1
org.gjt.sp.jedit.textarea.JEditTextArea,211,4,0,59,430,11469,40,39,169,0.883277962,7612,0.906976744,10,0.755555556,0.084391534,3,9,34.87203791,25,3.0521,7612,0,7612,0,1
org.gjt.sp.jedit.GUIUtilities,39,1,0,70,144,725,58,21,34,0.955263158,1492,0.4,1,0,0.135964912,0,0,37,16,2.6923,1492,0,1492,0,1
org.gjt.sp.jedit.EBComponent,1,1,0,31,1,0,31,1,1,2,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0
org.gjt.sp.jedit.gui.KeyEventWorkaround,4,1,0,5,16,2,5,0,2,1.083333333,179,0.875,0,0,0.333333333,0,0,41.75,20,8.75,179,0,179,0,1
org.gjt.sp.jedit.gui.PastePrevious,12,7,0,7,57,52,1,7,10,0.709090909,279,1,2,0.983433735,0.277777778,0,0,21.83333333,3,1.3333,279,0,279,0,1
org.gjt.sp.jedit.EditPane,19,5,0,31,132,57,16,22,12,0.595238095,828,1,6,0.973174367,0.210526316,1,1,42.21052632,21,3.2105,828,0,828,0,1
org.gjt.sp.jedit.EBMessage,6,1,3,29,14,7,29,1,6,0.6,49,1,1,0,0.583333333,0,0,6.833333333,1,0.8333,49,0,49,0,0
org.gjt.sp.jedit.options.AbbrevsOptionPane,7,6,0,9,58,5,4,8,1,0.733333333,300,1,1,0.991017964,0.5,4,12,41.14285714,5,1.7143,300,0,300,0,1
org.gjt.sp.jedit.gui.CloseDialog,14,7,0,7,54,65,3,7,4,0.846153846,313,1,1,0.98048048,0.285714286,0,0,20.85714286,3,1.0714,313,0,313,0,1
org.gjt.sp.jedit.search.SearchDialog,30,7,0,22,137,315,7,20,4,0.830140485,1603,0.888888889,5,0.958883994,0.233333333,2,2,51.53333333,11,2.0333,1603,0,1603,0,1
