name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,ADD,DEL,CADD,CDEL,bugs
org.apache.synapse.SynapseException,3,4,0,83,6,3,83,0,3,1.5,17,1,0,1,0.7777778,0,0,4.3333335,0,0,-,1,0,-,1
org.apache.synapse.config.xml.LogMediatorFactory,4,2,0,6,16,2,0,6,3,1.0476191,97,1,0,0.6,0.6666667,0,0,21.5,0,0,-,1,0,-,0
org.apache.synapse.config.xml.PropertyHelper,7,1,0,7,42,9,3,4,4,0.33333334,558,1,0,0,0.3,0,0,78.57143,1,1,7,1,0,-,1
org.apache.synapse.metrics.MetricsAggregatorModule,6,1,0,10,13,15,0,10,6,2,35,0,0,0,0.3611111,0,0,4.8333335,0,0,-,1,0,-,0
org.apache.synapse.statistics.impl.SequenceStatisticsStack$SequenceStatistics,4,1,0,1,8,0,1,1,3,0.8333333,65,0.16666667,1,0,0.32142857,1,1,13.75,-,0,-,-,0,-,0
org.apache.synapse.SynapseServer,6,1,0,4,26,9,1,4,3,0.9,171,1,0,0,0.2,0,0,27.166666,2,2,41,1,0,-,2
org.apache.synapse.core.axis2.ResourceMap,5,1,0,13,26,0,7,6,4,0.5,151,1,0,0,0.5833333,0,0,28.8,4,3,136,0,0,-,2
org.apache.synapse.mediators.annotations.ReadAndUpdate,1,1,0,1,1,0,1,0,1,2,1,0,0,0,1,0,0,0,1,1,34,0,0,-,0
org.apache.synapse.endpoints.FailoverEndpoint,11,1,0,16,45,11,3,13,10,0.6166667,250,1,3,0,0.31666666,0,0,21.181818,5,3,104,1,1,-,0
org.apache.synapse.statistics.impl.EndPointStatisticsStack,5,1,0,7,26,0,5,3,5,0.25,288,1,0,0,0.6,0,0,56.2,0,0,-,1,0,-,0
org.apache.synapse.config.xml.CloneMediatorSerializer,3,2,0,10,16,3,0,10,3,2,56,0,0,0.75,0.5555556,0,0,17.666666,1,1,18,1,0,-,0
org.apache.synapse.config.xml.ConfigurationFactoryAndSerializerFinder,13,1,0,14,45,10,2,12,8,0.5833333,382,1,1,0,0.1904762,0,0,28,0,0,-,1,0,-,0
org.apache.synapse.config.xml.endpoints.SALoadbalanceEndpointFactory,4,2,0,11,23,4,1,11,1,0.6666667,117,1,1,0.8181818,0.44444445,1,2,28,6,2,99,1,1,-,1
org.apache.synapse.config.xml.MediatorSerializer,2,1,0,8,2,1,6,2,2,2,2,0,0,0,0.6666667,0,0,0,0,0,-,1,0,-,0
org.apache.synapse.core.axis2.SynapseStartUpServlet,8,3,0,3,42,8,0,3,3,0.78571427,202,1,0,0.8064516,0.35714287,3,4,24,3,3,149,1,0,-,1
org.apache.synapse.endpoints.algorithms.AlgorithmContext,10,1,0,11,33,0,4,7,6,0.74603176,248,1,0,0,0.3148148,0,0,23.1,2,2,239,0,0,-,1
org.apache.synapse.mediators.eip.Target,14,1,0,15,26,29,8,7,14,0.7692308,159,1,2,0,0.3,0,0,9.928572,3,3,57,1,0,-,0
org.apache.synapse.util.xpath.SynapseXPathVariableContext,3,1,0,9,13,0,1,8,3,0,113,1,1,0,0.53333336,0,0,35.666668,2,2,23,0,0,-,0
org.apache.synapse.mediators.eip.EIPUtils,5,1,0,12,19,10,3,9,4,1,143,1,0,0,0.5833333,0,0,27.4,5,3,95,1,0,-,0
org.apache.synapse.Mediator,4,1,0,78,4,6,78,1,4,2,4,0,0,0,0.5,0,0,0,1,1,2,1,0,-,0
org.apache.synapse.config.xml.LogMediatorSerializer,3,2,0,8,19,3,0,8,3,2,88,0,0,0.75,0.5555556,0,0,28.333334,0,0,-,1,0,-,0
org.apache.synapse.util.MessageHelper,8,1,0,33,105,28,5,28,7,2,455,0,0,0,0.2,0,0,55.875,10,4,53,1,1,-,3
org.apache.synapse.config.xml.AbstractDBMediatorFactory,8,2,2,12,60,12,4,9,1,0.75,709,0,0,0.33333334,0.6785714,0,0,86.125,6,3,80,1,0,-,2
org.apache.synapse.config.xml.ProxyServiceSerializer,4,1,0,19,69,2,1,18,2,0.5833333,598,1,0,0,0.33333334,0,0,147.5,7,4,157,1,2,-,0
org.apache.synapse.config.xml.endpoints.WSDLEndpointFactory,5,2,0,11,38,8,1,11,1,0.75,220,1,1,0.75,0.4375,2,4,42.8,11,4,445,1,2,-,0
org.apache.synapse.core.axis2.MediatorDeployer,9,1,0,11,45,22,0,11,6,0.75,351,1,0,0,0.4,0,0,37.77778,2,2,24,1,0,-,2
org.apache.synapse.startup.quartz.SimpleQuartzSerializer,3,1,0,11,35,1,0,11,2,0.625,200,1,0,0,0.6666667,0,0,64.333336,2,2,14,1,0,-,0
org.apache.synapse.statistics.StatisticsUtils,6,1,0,14,22,15,5,9,5,2,146,0,0,0,0.5,0,0,23.333334,0,0,-,1,0,-,0
org.apache.synapse.config.xml.OutMediatorSerializer,3,3,0,7,15,3,0,7,3,2,46,0,0,0.7777778,0.5555556,0,0,14.333333,0,0,-,1,0,-,0
org.apache.synapse.mediators.builtin.PropertyMediator,12,2,0,10,37,14,2,8,12,0.83116883,390,0.71428573,1,0.5416667,0.3,0,0,30.916666,5,2,22,1,0,-,1
org.apache.synapse.config.xml.CalloutMediatorSerializer,3,2,0,11,25,3,0,11,3,2,156,0,0,0.75,0.5555556,0,0,51,7,3,118,0,0,-,0
org.apache.synapse.ServerManager$URLStreamHandlerFactoryImpl,3,1,0,3,7,3,1,2,1,2,28,0,0,0,0.5555556,0,0,8.333333,-,0,-,-,0,-,0
org.apache.synapse.config.xml.ConfigurationFactory,3,1,0,4,3,3,2,2,3,2,3,0,0,0,0.6666667,0,0,0,0,0,-,1,0,-,0
org.apache.synapse.config.xml.IterateMediatorSerializer,3,2,0,12,24,3,0,12,3,2,94,0,0,0.75,0.5555556,0,0,30.333334,2,2,25,1,0,-,0
org.apache.synapse.config.xml.OutMediatorFactory,4,3,0,5,9,4,0,5,3,0.6666667,30,1,0,0.6666667,0.6666667,0,0,6.25,0,0,-,1,0,-,0
